k = 3
Letter			Accuracy
0			0.9624505928853755
1			0.9762845849802372
2			0.9920948616600791
3			0.974308300395257
4			0.9802371541501976
5			0.9802371541501976
6			0.9644268774703557
7			0.9940711462450593
8			0.9861660079051383
9			0.9723320158102767
10			0.9822134387351779
11			0.9624505928853755
12			0.9703557312252964
13			0.9644268774703557
14			0.958498023715415
15			0.9782608695652174
16			0.9881422924901185
17			0.9723320158102767
18			0.9624505928853755
19			0.9426877470355731
20			0.9664031620553359
21			0.9861660079051383
22			0.9861660079051383
23			0.9841897233201581
24			0.9664031620553359
25			0.9683794466403162
26			0.9901185770750988
